region,geo_type
Afghanistan,Countries
Africa,Continents
Albania,Countries
Algeria,Countries
American Samoa,Countries
Angola,Countries
Antarctica,Continents
Antigua and Barbuda,Countries
Argentina,Countries
Armenia,Countries
Aruba,Countries
Asia Pacific,Continents
Australia,Countries
Austria,Countries
Azerbaijan,Countries
Bahamas,Countries
Bahrain,Countries
Bangladesh,Countries
Barbados,Countries
Belarus,Countries
Belgium,Countries
Belize,Countries
Benin,Countries
Bermuda,Countries
Bhutan,Countries
Bolivia,Countries
Bosnia and Herzegovina,Countries
Botswana,Countries
Brazil,Countries
British Virgin Islands,Countries
Brunei,Countries
Bulgaria,Countries
Burkina Faso,Countries
Burundi,Countries
Cambodia,Countries
Cameroon,Countries
Canada,Countries
Cayman Islands,Countries
Central African Republic,Countries
Central America,Other
Chad,Countries
Chile,Countries
China,Countries
CIS,Other
Colombia,Countries
Comoros,Countries
Congo,Countries
Cook Islands,Countries
Costa Rica,Countries
Croatia,Countries
Cuba,Countries
Cyprus,Countries
Czechia,Countries
Democratic Republic of Congo,Countries
Denmark,Countries
Djibouti,Countries
Dominica,Countries
Dominican Republic,Countries
Eastern Africa,Other
Ecuador,Countries
Egypt,Countries
El Salvador,Countries
Equatorial Guinea,Countries
Eritrea,Countries
Estonia,Countries
Ethiopia,Countries
EU-27,Other
EU27+1,Other
Europe,Continents
Europe (other),Other
Falkland Islands,Countries
Faroe Islands,Countries
Fiji,Countries
Finland,Countries
France,Countries
French Guiana,Countries
French Polynesia,Countries
Gabon,Countries
Gambia,Countries
Georgia,Countries
Germany,Countries
Ghana,Countries
Gibraltar,Countries
Greece,Countries
Greenland,Countries
Grenada,Countries
Guadeloupe,Countries
Guam,Countries
Guatemala,Countries
Guinea,Countries
Guinea-Bissau,Countries
Guyana,Countries
Haiti,Countries
Honduras,Countries
Hong Kong,Countries
Hungary,Countries
Iceland,Countries
India,Countries
Indonesia,Countries
Iran,Countries
Iraq,Countries
Ireland,Countries
Israel,Countries
Italy,Countries
Jamaica,Countries
Japan,Countries
Jordan,Countries
Kazakhstan,Countries
Kenya,Countries
Kiribati,Countries
Kosovo,Countries
Kuwait,Countries
Kyrgyzstan,Countries
Laos,Countries
Latvia,Countries
Lebanon,Countries
Lesotho,Countries
Liberia,Countries
Libya,Countries
Lithuania,Countries
Luxembourg,Countries
Macau,Countries
Madagascar,Countries
Malawi,Countries
Malaysia,Countries
Maldives,Countries
Mali,Countries
Malta,Countries
Martinique,Countries
Mauritania,Countries
Mauritius,Countries
Mexico,Countries
Middle Africa,Other
Middle East,Continents
Moldova,Countries
Mongolia,Countries
Montenegro,Countries
Montserrat,Countries
Morocco,Countries
Mozambique,Countries
Namibia,Countries
Nauru,Countries
Nepal,Countries
Netherlands,Countries
Netherlands Antilles,Countries
New Caledonia,Countries
New Zealand,Countries
Nicaragua,Countries
Niger,Countries
Nigeria,Countries
Niue,Countries
North America,Continents
North Korea,Countries
North Macedonia,Countries
Norway,Countries
Oman,Countries
Other Asia & Pacific,Other
Other Caribbean,Other
Other CIS,Other
Other Middle East,Other
Other Northern Africa,Other
Other South America,Other
Other Southern Africa,Other
Pakistan,Countries
Palestine,Countries
Panama,Countries
Papua New Guinea,Countries
Paraguay,Countries
Peru,Countries
Philippines,Countries
Poland,Countries
Portugal,Countries
Puerto Rico,Countries
Qatar,Countries
Reunion,Countries
Romania,Countries
Russia,Countries
Rwanda,Countries
Saint Helena,Countries
Saint Kitts and Nevis,Countries
Saint Lucia,Countries
Saint Pierre and Miquelon,Countries
Saint Vincent and the Grenadines,Countries
Samoa,Countries
Sao Tome and Principe,Countries
Saudi Arabia,Countries
Senegal,Countries
Serbia,Countries
Seychelles,Countries
Sierra Leone,Countries
Singapore,Countries
Slovakia,Countries
Slovenia,Countries
Solomon Islands,Countries
Somalia,Countries
South & Central America,Continents
South Africa,Countries
South Korea,Countries
South Sudan,Countries
Spain,Countries
Sri Lanka,Countries
Sudan,Countries
Suriname,Countries
Sweden,Countries
Switzerland,Countries
Syria,Countries
Taiwan,Countries
Tajikistan,Countries
Tanzania,Countries
Thailand,Countries
Togo,Countries
Tonga,Countries
Trinidad and Tobago,Countries
Tunisia,Countries
Turkey,Countries
Turkmenistan,Countries
Turks and Caicos Islands,Countries
U.S. Pacific Islands,Countries
Uganda,Countries
Ukraine,Countries
United Arab Emirates,Countries
United Kingdom,Countries
United States,Countries
United States Virgin Islands,Countries
Uruguay,Countries
Uzbekistan,Countries
Vanuatu,Countries
Venezuela,Countries
Vietnam,Countries
Western Africa,Other
Western Sahara,Other
World,World
Yemen,Countries
Zambia,Countries
Zimbabwe,Countries
