region,year,CO2_tonnes_saved_per_km
United States,2019,2398.9795297877167
China,2019,1467.1229631823749
Brazil,2019,463.12702922401036
Germany,2019,319.223120088056
Canada,2019,280.45442195476085
France,2019,269.219793365771
United Kingdom,2019,248.71970338867882
Japan,2019,185.14652874797181
Italy,2019,145.07712594920696
South Korea,2019,103.21069034388539
Mexico,2019,83.77050620037075
Australia,2019,65.5565875851627
India,2019,26.553659864501626
Chile,2019,23.710836238541976
South Africa,2019,9.172427208387733
